product_id,cost,competitor_price,demand_score,seasonality,rating,marketing_spend,price
PROD_0000,312.14,370.75,55,6,3.5,205.97,437.18
PROD_0001,761.56,925.83,96,6,2.8,1224.78,1204.36
PROD_0002,590.96,797.25,36,1,3.7,1708.72,892.54
PROD_0003,486.95,569.25,37,3,1.4,143.4,589.95
PROD_0004,141.69,191.91,14,12,4.8,1609.74,109.43
PROD_0005,141.68,153.13,27,6,4.0,819.23,171.41
PROD_0006,65.31,86.33,83,11,3.5,361.01,98.28
PROD_0007,695.62,936.75,31,11,2.3,393.39,1021.5
PROD_0008,488.87,544.42,73,9,1.6,1841.59,729.37
PROD_0009,572.3,687.11,81,6,2.6,265.68,813.54
PROD_0010,36.06,39.95,83,12,3.6,1740.23,52.24
PROD_0011,776.53,1007.4,44,6,3.5,1111.28,1042.96
PROD_0012,669.31,828.18,68,1,2.5,126.16,1003.24
PROD_0013,185.62,236.18,48,9,3.5,955.73,241.75
PROD_0014,161.82,181.04,57,4,4.3,1644.03,213.15
PROD_0015,163.06,183.29,75,2,1.1,1466.1,242.47
PROD_0016,257.31,273.91,22,1,2.8,1003.13,355.4
PROD_0017,429.31,,4,3,4.0,1727.1,627.38
PROD_0018,356.92,444.69,81,3,3.2,284.71,492.96
PROD_0019,247.16,333.73,72,5,3.6,1824.39,355.18
PROD_0020,497.25,638.18,46,1,3.1,1700.56,694.82
PROD_0021,128.81,154.87,59,7,5.0,1431.14,198.31
PROD_0022,247.87,342.95,34,1,1.2,1644.88,352.11
PROD_0023,305.76,398.02,11,4,3.0,1110.44,439.02
PROD_0024,375.73,516.84,31,6,1.4,1366.57,461.04
PROD_0025,632.44,780.84,11,1,1.6,1143.17,901.83
PROD_0026,175.75,200.46,56,7,2.5,743.09,238.67
PROD_0027,421.1,449.94,38,10,1.6,1159.28,513.84
PROD_0028,482.08,628.7,21,7,4.9,552.06,593.2
PROD_0029,56.23,61.43,94,3,4.8,908.54,85.11
PROD_0030,493.88,570.92,10,4,,597.51,609.67
PROD_0031,153.01,189.17,26,6,3.6,289.63,222.6
PROD_0032,70.74,88.25,91,11,3.1,677.63,115.23
PROD_0033,760.13,957.92,8,7,4.3,1711.38,911.09
PROD_0034,773.19,856.84,8,4,3.5,793.11,1076.94
PROD_0035,650.55,769.54,60,10,1.0,1508.61,827.55
PROD_0036,257.6,326.12,72,11,4.1,391.64,383.33
PROD_0037,96.18,133.64,34,9,4.0,877.62,134.13
PROD_0038,553.7,722.4,16,9,3.0,273.97,770.48
PROD_0039,363.32,498.8,13,9,4.6,320.31,479.01
PROD_0040,115.19,151.68,87,12,4.6,1254.0,188.1
PROD_0041,406.24,510.68,76,10,,1234.59,616.77
PROD_0042,46.82,52.31,91,6,3.4,466.08,64.94
PROD_0043,729.27,935.9,22,2,5.0,975.13,965.59
PROD_0044,221.85,281.34,96,2,2.2,1733.45,333.92
PROD_0045,536.77,676.79,27,11,2.3,389.69,699.56
PROD_0046,263.13,321.4,64,4,1.7,87.46,389.32
PROD_0047,425.65,525.69,2,9,4.6,1321.39,601.67
PROD_0048,446.43,521.01,97,3,4.0,154.32,610.17
PROD_0049,164.19,202.24,26,6,1.4,1960.88,246.06
PROD_0050,776.28,868.77,92,2,4.9,1238.76,1094.19
PROD_0051,624.6,831.85,83,1,3.9,967.27,975.2
PROD_0052,752.81,839.4,69,12,4.4,888.49,1075.74
PROD_0053,717.97,775.21,97,5,1.2,1167.49,418.07
PROD_0054,486.36,584.94,84,8,3.0,226.72,680.98
PROD_0055,739.06,946.3,30,10,,1863.54,387.31
PROD_0056,89.02,107.11,8,10,3.2,1270.0,108.38
PROD_0057,172.87,198.25,38,2,,408.76,221.31
PROD_0058,55.28,68.84,61,10,4.3,1147.03,73.43
PROD_0059,273.76,320.69,81,9,2.5,309.85,410.69
PROD_0060,323.17,444.84,65,12,4.4,84.23,269.04
PROD_0061,231.65,318.04,67,8,1.7,1279.51,336.92
PROD_0062,666.42,816.91,46,3,2.1,1314.54,990.27
PROD_0063,298.27,347.41,90,1,1.2,1188.21,469.71
PROD_0064,239.13,312.78,95,4,2.5,407.79,314.88
PROD_0065,443.3,471.16,72,8,2.5,1226.69,678.53
PROD_0066,129.92,158.01,43,3,4.2,160.2,167.97
PROD_0067,645.71,754.01,59,10,3.6,1238.01,3033.22
PROD_0068,78.15,107.24,46,12,2.7,1130.33,120.89
PROD_0069,789.77,832.58,72,2,3.6,1327.75,991.09
PROD_0070,622.35,773.88,35,7,1.2,1796.18,803.89
PROD_0071,175.0,229.11,39,4,1.7,1708.2,239.39
PROD_0072,24.31,29.65,92,6,3.5,1962.28,35.17
PROD_0073,656.06,708.47,51,5,3.6,1953.67,1003.23
PROD_0074,571.35,794.38,4,2,4.1,1556.02,746.94
PROD_0075,588.63,724.78,80,10,2.6,1915.02,906.1
PROD_0076,621.59,786.29,77,2,3.9,1741.2,916.11
PROD_0077,77.75,88.08,84,9,3.7,1468.79,123.36
PROD_0078,299.6,365.28,51,11,4.9,197.0,456.95
PROD_0079,110.38,132.48,5,10,1.9,145.65,146.36
PROD_0080,693.22,746.05,55,2,3.2,1683.32,890.61
PROD_0081,506.17,550.29,20,8,3.4,1004.83,693.27
PROD_0082,278.1,373.52,24,8,5.0,1638.48,354.81
PROD_0083,69.58,78.89,36,1,1.8,660.19,86.89
PROD_0084,262.57,293.61,34,1,3.1,825.42,358.41
PROD_0085,273.64,335.68,54,4,2.4,1415.36,406.42
PROD_0086,589.09,777.05,34,2,3.1,1834.89,1962.25
PROD_0087,517.29,554.38,83,12,1.9,221.13,781.54
PROD_0088,712.03,891.37,17,1,1.2,1729.88,955.92
PROD_0089,388.33,423.95,5,9,3.3,1596.37,463.37
PROD_0090,113.28,120.39,89,3,2.3,665.3,160.67
PROD_0091,576.33,615.79,18,1,1.7,742.67,787.39
PROD_0092,613.41,823.17,55,2,2.3,140.6,744.36
PROD_0093,457.8,499.59,53,8,1.2,80.69,659.93
PROD_0094,621.35,662.24,50,5,4.8,980.16,877.58
PROD_0095,405.16,487.52,72,11,3.3,236.3,637.22
PROD_0096,427.73,575.47,91,7,4.3,428.3,578.95
PROD_0097,353.48,403.62,79,6,2.7,1701.2,536.15
PROD_0098,39.83,47.7,45,1,4.6,1163.51,49.76
PROD_0099,104.16,110.82,13,6,2.9,1285.58,138.65
PROD_0100,44.51,53.74,16,11,,415.58,58.92
PROD_0101,516.4,646.62,86,7,3.0,1665.89,794.0
PROD_0102,265.2,331.45,84,4,3.9,1742.56,402.65
PROD_0103,416.69,486.0,13,8,3.3,1070.49,494.94
PROD_0104,727.9,844.68,20,8,2.1,1829.49,870.07
PROD_0105,214.45,233.17,66,7,1.6,1697.42,286.26
PROD_0106,340.1,400.77,99,11,3.4,1476.08,488.0
PROD_0107,609.33,661.02,47,2,3.0,1481.45,863.96
